image,dice,iou
sample_0000_baseline.png,0.815118,0.688172
sample_0001_baseline.png,0.047619,0.032258
sample_0002_baseline.png,0.944261,0.894417
sample_0003_baseline.png,0.948127,0.901391
sample_0004_baseline.png,0.687197,0.523634
sample_0005_baseline.png,0.949523,0.903949
sample_0006_baseline.png,0.938199,0.883626
sample_0007_baseline.png,0.944610,0.895070
sample_0008_baseline.png,0.875519,0.778623
sample_0009_baseline.png,0.893378,0.807339
sample_0010_baseline.png,0.794066,0.658960
sample_0011_baseline.png,0.729822,0.574866
sample_0012_baseline.png,0.953003,0.910238
sample_0013_baseline.png,0.387433,0.240440
sample_0014_baseline.png,0.815776,0.688938
sample_0015_baseline.png,0.927280,0.864447
sample_0016_baseline.png,0.829092,0.708182
sample_0017_baseline.png,0.984546,0.969565
sample_0018_baseline.png,0.903667,0.824351
sample_0019_baseline.png,0.531423,0.362264
sample_0020_baseline.png,0.871268,0.771943
sample_0021_baseline.png,0.752484,0.603473
sample_0022_baseline.png,0.957200,0.917920
sample_0023_baseline.png,0.682442,0.518210
sample_0024_baseline.png,0.582184,0.410744
sample_0025_baseline.png,0.953985,0.912028
sample_0026_baseline.png,0.035714,0.035714
sample_0027_baseline.png,0.908360,0.832188
sample_0028_baseline.png,0.758281,0.610794
sample_0029_baseline.png,0.790705,0.653944
sample_0030_baseline.png,0.608624,0.438095
sample_0031_baseline.png,0.952541,0.909424
sample_0032_baseline.png,0.004202,0.004202
sample_0033_baseline.png,0.935239,0.878396
sample_0034_baseline.png,0.815560,0.688705
sample_0035_baseline.png,0.633617,0.463842
sample_0036_baseline.png,0.970175,0.942090
sample_0037_baseline.png,0.944743,0.895285
sample_0038_baseline.png,0.913827,0.841346
sample_0039_baseline.png,0.922139,0.855561
sample_0040_baseline.png,0.845554,0.732461
sample_0041_baseline.png,0.958028,0.919449
sample_0042_baseline.png,0.943997,0.893972
sample_0043_baseline.png,0.933446,0.875237
sample_0044_baseline.png,0.894737,0.809594
sample_0045_baseline.png,0.859375,0.753906
sample_0046_baseline.png,0.818335,0.692600
sample_0047_baseline.png,0.960618,0.924236
sample_0048_baseline.png,0.951684,0.907852
sample_0049_baseline.png,0.904476,0.825639
sample_0050_baseline.png,0.969803,0.941394
sample_0051_baseline.png,0.839060,0.722777
sample_0052_baseline.png,0.904742,0.826087
sample_0053_baseline.png,0.966226,0.934670
sample_0054_baseline.png,0.844596,0.731033
sample_0055_baseline.png,0.895731,0.811192
sample_0056_baseline.png,0.857692,0.751121
sample_0057_baseline.png,0.870202,0.770370
sample_0058_baseline.png,0.945596,0.896842
sample_0059_baseline.png,0.949865,0.904527
sample_0060_baseline.png,0.886630,0.796398
sample_0061_baseline.png,0.668149,0.501820
sample_0062_baseline.png,0.733225,0.578992
sample_0063_baseline.png,0.265490,0.153247
sample_0064_baseline.png,0.919712,0.851380
sample_0065_baseline.png,0.028451,0.014957
sample_0066_baseline.png,0.969821,0.941421
sample_0067_baseline.png,0.797165,0.662876
sample_0068_baseline.png,0.924159,0.859056
sample_0069_baseline.png,0.951940,0.908309
sample_0070_baseline.png,0.875625,0.778786
sample_0071_baseline.png,0.945602,0.896827
sample_0072_baseline.png,0.883727,0.791725
sample_0073_baseline.png,0.942896,0.891982
sample_0074_baseline.png,0.769218,0.625033
sample_0075_baseline.png,0.955105,0.914089
sample_0076_baseline.png,0.634035,0.464525
sample_0077_baseline.png,0.739051,0.586207
sample_0078_baseline.png,0.935434,0.878716
sample_0079_baseline.png,0.901437,0.820597
sample_0080_baseline.png,0.843194,0.729011
sample_0081_baseline.png,0.840088,0.724528
sample_0082_baseline.png,0.918971,0.850142
sample_0083_baseline.png,0.810843,0.681929
sample_0084_baseline.png,0.433428,0.277978
sample_0085_baseline.png,0.717546,0.559684
sample_0086_baseline.png,0.665914,0.499436
sample_0087_baseline.png,0.959042,0.921323
sample_0088_baseline.png,0.869392,0.768981
sample_0089_baseline.png,0.911633,0.837782
sample_0090_baseline.png,0.935297,0.878482
sample_0091_baseline.png,0.302515,0.178543
sample_0092_baseline.png,0.976412,0.953916
sample_0093_baseline.png,0.956208,0.916111
sample_0094_baseline.png,0.001524,0.001524
sample_0095_baseline.png,0.004082,0.004082
sample_0096_baseline.png,0.782502,0.642857
sample_0097_baseline.png,0.910481,0.835688
