image,dice,iou
sample_0000_heatmap.png,0.807065,0.676783
sample_0001_heatmap.png,0.001709,0.001709
sample_0002_heatmap.png,0.938655,0.884413
sample_0003_heatmap.png,0.869134,0.768598
sample_0004_heatmap.png,0.494500,0.328582
sample_0005_heatmap.png,0.887223,0.797414
sample_0006_heatmap.png,0.912889,0.839786
sample_0007_heatmap.png,0.886898,0.796853
sample_0008_heatmap.png,0.877314,0.781466
sample_0009_heatmap.png,0.899137,0.816791
sample_0010_heatmap.png,0.314783,0.187629
sample_0011_heatmap.png,0.434924,0.278393
sample_0012_heatmap.png,0.946732,0.898866
sample_0013_heatmap.png,0.597386,0.426082
sample_0014_heatmap.png,0.890023,0.801892
sample_0015_heatmap.png,0.908462,0.832307
sample_0016_heatmap.png,0.478649,0.314796
sample_0017_heatmap.png,0.974012,0.949345
sample_0018_heatmap.png,0.910317,0.835484
sample_0019_heatmap.png,0.793954,0.658487
sample_0020_heatmap.png,0.792898,0.656929
sample_0021_heatmap.png,0.754951,0.606623
sample_0022_heatmap.png,0.945966,0.897482
sample_0023_heatmap.png,0.811102,0.682451
sample_0024_heatmap.png,0.836797,0.719494
sample_0025_heatmap.png,0.951662,0.907793
sample_0026_heatmap.png,0.003425,0.003425
sample_0027_heatmap.png,0.888466,0.799413
sample_0028_heatmap.png,0.653683,0.485682
sample_0029_heatmap.png,0.859384,0.753500
sample_0030_heatmap.png,0.499264,0.333333
sample_0031_heatmap.png,0.942224,0.890810
sample_0032_heatmap.png,0.146820,0.079562
sample_0033_heatmap.png,0.951211,0.906992
sample_0034_heatmap.png,0.894880,0.809836
sample_0035_heatmap.png,0.618848,0.448165
sample_0036_heatmap.png,0.963811,0.930164
sample_0037_heatmap.png,0.946318,0.898118
sample_0038_heatmap.png,0.900379,0.818830
sample_0039_heatmap.png,0.881175,0.787641
sample_0040_heatmap.png,0.833722,0.714886
sample_0041_heatmap.png,0.950586,0.905840
sample_0042_heatmap.png,0.937548,0.882480
sample_0043_heatmap.png,0.919560,0.851145
sample_0044_heatmap.png,0.789737,0.652663
sample_0045_heatmap.png,0.366375,0.224732
sample_0046_heatmap.png,0.717809,0.559940
sample_0047_heatmap.png,0.962022,0.926840
sample_0048_heatmap.png,0.945036,0.895833
sample_0049_heatmap.png,0.804189,0.672550
sample_0050_heatmap.png,0.963666,0.929901
sample_0051_heatmap.png,0.844869,0.731440
sample_0052_heatmap.png,0.832785,0.713528
sample_0053_heatmap.png,0.975231,0.951667
sample_0054_heatmap.png,0.772023,0.628736
sample_0055_heatmap.png,0.921660,0.854734
sample_0056_heatmap.png,0.837580,0.720803
sample_0057_heatmap.png,0.886950,0.796992
sample_0058_heatmap.png,0.930712,0.870448
sample_0059_heatmap.png,0.934512,0.877087
sample_0060_heatmap.png,0.880435,0.786461
sample_0061_heatmap.png,0.511908,0.344140
sample_0062_heatmap.png,0.884272,0.792634
sample_0063_heatmap.png,0.828211,0.706869
sample_0064_heatmap.png,0.936516,0.880629
sample_0065_heatmap.png,0.734685,0.580774
sample_0066_heatmap.png,0.941547,0.889571
sample_0067_heatmap.png,0.695909,0.533798
sample_0068_heatmap.png,0.937744,0.882822
sample_0069_heatmap.png,0.953896,0.911877
sample_0070_heatmap.png,0.866534,0.764520
sample_0071_heatmap.png,0.953647,0.911411
sample_0072_heatmap.png,0.857251,0.750220
sample_0073_heatmap.png,0.940448,0.887611
sample_0074_heatmap.png,0.695498,0.533207
sample_0075_heatmap.png,0.947680,0.900588
sample_0076_heatmap.png,0.547907,0.377721
sample_0077_heatmap.png,0.713360,0.554533
sample_0078_heatmap.png,0.921404,0.854283
sample_0079_heatmap.png,0.846303,0.733607
sample_0080_heatmap.png,0.393191,0.244808
sample_0081_heatmap.png,0.715071,0.556777
sample_0082_heatmap.png,0.930314,0.869754
sample_0083_heatmap.png,0.689678,0.526423
sample_0084_heatmap.png,0.223963,0.126556
sample_0085_heatmap.png,0.447063,0.288026
sample_0086_heatmap.png,0.483268,0.319066
sample_0087_heatmap.png,0.683517,0.519252
sample_0088_heatmap.png,0.892195,0.805391
sample_0089_heatmap.png,0.689815,0.526836
sample_0090_heatmap.png,0.751461,0.601938
sample_0091_heatmap.png,0.222953,0.125757
sample_0092_heatmap.png,0.973849,0.949036
sample_0093_heatmap.png,0.964727,0.931874
sample_0094_heatmap.png,0.424026,0.269311
sample_0095_heatmap.png,0.017123,0.010345
